Lap,Sim_TyreAge_StartOfLap,Sim_Compound,AI_Pace_Delta,AI_Pit_Prob,Action,Time_If_Stay_Out,Time_If_Box_Soft,Time_If_Box_Medium,Time_If_Box_Hard,SC_Risk_Prob,Color
40,13,HARD,0.1508854329586029,0.079107836,STAY OUT,35.581302642822266,55.4626579284668,57.03483963012695,,0.09001118151323145,#A6A6A6
41,14,HARD,0.1918456256389618,0.086983025,STAY OUT,32.28002166748047,52.443695068359375,53.88671875,,0.09001118151323145,#A6A6A6
42,15,HARD,0.195450097322464,0.046827275,STAY OUT,28.937782287597656,49.5650634765625,50.88066864013672,,0.09001118151323145,#A6A6A6
43,16,HARD,0.1766611635684967,0.054718714,STAY OUT,25.591941833496094,47.046302795410156,48.23307418823242,,0.0673447913012978,#A6A6A6
44,17,HARD,0.1700742095708847,0.06370003,STAY OUT,23.058212280273438,45.31220626831055,46.37346267700195,,0.0673447913012978,#A6A6A6
45,18,HARD,0.3842480778694153,0.031788744,STAY OUT,20.531070709228516,44.55075454711914,45.4287109375,,0.0673447913012978,#A6A6A6
46,19,HARD,0.06457764655351639,0.083428726,STAY OUT,17.789756774902344,43.3089485168457,44.0330924987793,,0.03816214163660528,#A6A6A6
47,20,HARD,0.03660443797707558,0.09510372,STAY OUT,16.389503479003906,42.56172180175781,43.14093017578125,,0.03816214163660528,#A6A6A6
48,21,HARD,0.09944353252649307,0.10366399,STAY OUT,15.01722526550293,41.755393981933594,42.192626953125,,0.06660633484162895,#A6A6A6
49,22,HARD,0.14286267757415771,0.11485111,STAY OUT,12.586560249328613,40.072818756103516,40.381690979003906,,0.06660633484162895,#A6A6A6
50,23,HARD,0.20626969635486603,0.12619507,STAY OUT,10.112475395202637,38.43508529663086,38.623008728027344,,0.06660633484162895,#A6A6A6
51,24,HARD,0.22869227826595306,0.13731097,STAY OUT,7.574984073638916,36.804237365722656,36.86228942871094,,0.06451006206507429,#A6A6A6
52,25,HARD,0.2489042729139328,0.14797114,STAY OUT,5.08843994140625,34.5157043445552,34.5157043445552,,0.06451006206507429,#A6A6A6
53,26,HARD,0.32383090257644653,0.15289986,STAY OUT,2.5816831588745117,29.2578521722776,29.2578521722776,,0.06451006206507429,#A6A6A6
1,1,MEDIUM,3.0,0.0039120186,STAY OUT,204.38063049316406,,,,0.15185429010313803,#EBEB00
2,2,MEDIUM,3.0,0.005910136,STAY OUT,196.06568908691406,,,,0.15185429010313803,#EBEB00
3,3,MEDIUM,3.260185480117798,0.008919684,STAY OUT,187.7508087158203,,,,0.05850451930977814,#EBEB00
4,4,MEDIUM,3.0799059867858887,0.01312676,STAY OUT,182.44297790527344,,,,0.05850451930977814,#EBEB00
5,5,MEDIUM,3.1115660667419434,0.01896456,STAY OUT,177.31541442871094,,,,0.05850451930977814,#EBEB00
6,6,MEDIUM,3.12646222114563,0.02649452,STAY OUT,172.1561737060547,,,,0.0442093330814283,#EBEB00
7,7,MEDIUM,2.7152316570281982,0.089474015,STAY OUT,167.4823760986328,,,,0.0442093330814283,#EBEB00
8,8,MEDIUM,2.3898632526397705,0.10611808,STAY OUT,163.21983337402344,176.6809844970703,,180.1789093017578,0.037152669372463316,#EBEB00
9,9,MEDIUM,2.275691032409668,0.13071336,STAY OUT,159.5296173095703,172.8588409423828,,182.01220703125,0.037152669372463316,#EBEB00
10,10,MEDIUM,2.290724039077759,0.1627682,STAY OUT,155.9535675048828,169.523681640625,,185.77981567382812,0.037152669372463316,#EBEB00
11,11,MEDIUM,2.2421693801879883,0.2061097,STAY OUT,152.3625030517578,166.40411376953125,,156.4062042236328,0.025600282485875706,#EBEB00
12,12,MEDIUM,2.2359535694122314,0.25226724,STAY OUT,149.2243194580078,163.18202209472656,,152.25941467285156,0.025600282485875706,#EBEB00
13,13,MEDIUM,2.653488874435425,0.22053312,STAY OUT,146.0923614501953,160.59478759765625,,148.68804931640625,0.025600282485875706,#EBEB00
14,14,MEDIUM,2.258160352706909,0.35197222,STAY OUT,142.54286193847656,158.129150390625,,145.09979248046875,0.016358839050131926,#EBEB00
15,15,MEDIUM,2.245959520339966,0.43071216,STAY OUT,139.71214294433594,156.1357421875,,141.87521362304688,0.016358839050131926,#EBEB00
16,16,MEDIUM,2.29083514213562,0.46094614,STAY OUT,136.8936309814453,153.2791290283203,,138.1360321044922,0.04234997296810236,#EBEB00
17,17,MEDIUM,2.63356614112854,0.46605122,STAY OUT,132.72573852539062,149.74818420410156,,133.54403686523438,0.04234997296810236,#EBEB00
18,18,MEDIUM,2.623375177383423,0.5198338,STAY OUT,128.2327117919922,146.0528564453125,,129.03341674804688,0.04234997296810236,#EBEB00
19,19,MEDIUM,2.5793988704681396,0.56838185,STAY OUT,123.71812438964844,142.5379180908203,,124.55059814453125,0.04727030625832224,#EBEB00
20,20,MEDIUM,2.5524606704711914,0.5951253,STAY OUT,118.70337677001953,138.83258056640625,,119.95697021484375,0.04727030625832224,#EBEB00
21,21,MEDIUM,2.5770206451416016,0.62131584,STAY OUT,113.83489227294922,135.0603485107422,,114.9691390991211,0.04727030625832224,#EBEB00
22,0,HARD,3.0801501274108887,0.72020006,BOX (STRATEGY),110.35774230957031,131.32151794433594,,110.07610321044922,0.04057641259006446,#A6A6A6
23,1,HARD,3.0,0.0023126833,STAY OUT,82.26318359375,,,,0.04057641259006446,#A6A6A6
24,2,HARD,3.0,0.0178666,STAY OUT,77.84300994873047,,,,0.026024622097553372,#A6A6A6
